Device,Test Name,Test Status,Message(s),Test description,Test category
leaf1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
leaf1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
leaf1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
leaf1,VerifyLLDPNeighbors,failure,Port: Ethernet1 Neighbor: leaf2 Neighbor Port: Ethernet1 - Wrong LLDP neighbors: leaf2.atd.lab/Ethernet1 - Port: Ethernet2 Neighbor: leaf2 Neighbor Port: Ethernet2 - Wrong LLDP neighbors: leaf2.atd.lab/Ethernet2 - Port: Ethernet3 Neighbor: spine1 Neighbor Port: Ethernet3 - Wrong LLDP neighbors: spine1.atd.lab/Ethernet3 - Port: Ethernet4 Neighbor: spine2 Neighbor Port: Ethernet3 - Wrong LLDP neighbors: spine2.atd.lab/Ethernet3 - Port: Ethernet5 Neighbor: spine3 Neighbor Port: Ethernet3 - Wrong LLDP neighbors: spine3.atd.lab/Ethernet3,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
leaf1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
leaf1,VerifyReachability,success,,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
leaf1,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
leaf1,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
leaf1,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
leaf1,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
leaf1,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
leaf1,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
leaf1,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
leaf1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
leaf1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
leaf1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
leaf1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
